ATM	כספומת	noun, finance, root=כסף, (m)
account	חשבון	noun, finance, computer, root=חשב, pattern=kitlon, (m)
bill	חשבון	noun, finance, root=חשב, pattern=kitlon, (m)
cash	כסף	noun, finance, root=כסף, pattern=ketel, (m)
cash mashine	כספומת	noun, finance, root=כסף, (m)
invoice	חשבונית	noun, finance, root=חשב, (f)
money	כסף	noun, finance, root=כסף, pattern=ketel, (m)
mortgaging	שיעבוד	noun, finance, root=שעבד, pattern=kittul, (m)
safe	כספת	noun, funance, root=כסף, pattern=kattelet, (f)
safety-deposit box	כספת	noun, funance, root=כסף, pattern=kattelet, (f)

