balcony	מרפסת	noum, home, (f)
bathroom	חדר אמבטיה	noun, home, (m)
bed	מיטה	noun, home, (f)
bedroom		חדר שינה	noun, home, (m)
candle	נר	noun, home, (m)
ceiling	תקרה	noun, home, (f)
chair	כסא	noun, home, (m)
door	דלת	noun, home, (f)
home	בית	noun, place, home, (m)
house	בית	noun, place, home, (m)
kitchen	מטבח	noun, home, (m)
living room	סלון	noun, home, (m)
room	חדר	noun, home, (m)
sofa	ספה	noun, home, (f)
table	שולחן	noun, home, (m)
terrace	מרפסת	noum, home, (f)
wardrobe	ארון	noun, home, (m)
window	חלון	noun, home, (m)
