comparison	השוואה	noun, abstract, science, mathematics, root=שוא, pattern=haktala, (f)
contradiction	התנגשות	noun, abstract, science, root=נגש, pattern=hitkattlut, (f)
distribution	הפצה	noun, science, mathematics, root=פוץ, pattern=haktala, (f)
equalisation	השוואה	noun, abstract, science, mathematics, root=שוא, pattern=haktala, (f)
etymology	גזרון	noun, science, root=גזר, pattern=kittalon, (m)	
fact	עובדה	noun, abstract, science, root=עבד, pattern=kutla, (f)
laboratory	מעבדה	noun, science, root=עבד, pattern=miktala, (f)
mathematics	מתמטיקה	noun, science, mathematics, (f)
philosophy	מחשבה	noun, abstract, science, root=חשב, pattern=miktala, (f)

