day	יום	noun, time, (m)
two days	יומיים	noun, time, (dlm)
night	לילה	noun, time, (m)
morning	בוקר	noun, time, (m)
evening	ערב	noun, time, (m)
noon	צהריים	noun, time, (m)
time	זמן	noun, time, (m)
second	שניה	noun, time, (f)
minute	דקה	noun, time, (f)
hour	שעה	noun, time, (f)
week	שבוע	noun, time, (m)
two weeks	שבועים	noun, time, (dlm)
month	חודש	noun, time, (m)
year	שנה	noun, time, (f)
two years	שנתיים	noun, time, (dlf)
moment	רגע	noun, time, (m)
Monday	יום שני	noun, date, week, (m)
Tuesday	יום שלישי	noun, date, week, (m)
Wednesday	יום רביעי	noun, date, week, (m)
Thursday	יום חמישי	noun, date, week, (m)
Friday	יום שישי	noun, date, week, (m)
Saturday	שבת	noun, date, week, (m)
Sunday	יום ראשון	noun, date, week, (m)
January	ינואר	noun, date, month, (m)
February	פברואר	noun, date, month, (m)
March	מרץ	noun, date, month, (m)
April	אפריל	noun, date, month, (m)
May	מאי	noun, date, month, (m)
June	יוני	noun, date, month, (m)
July	יולי	noun, date, month, (m)
August	אוגוסט	noun, date, month, (m)
September	ספטמבר	noun, date, month, (m)
October	אוקטובר	noun, date, month, (m)
November	נובמבר	noun, date, month, (m)
December	דצמבר	noun, date, month, (m)
